dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,12.764671,11.180099,12.881575,3.865484,-0.127479,0.002279,0.200335
0.050000,12.953906,11.217814,13.074531,3.859121,-0.127261,0.004376,0.193058
0.050000,13.143104,11.254060,13.267170,3.852775,-0.126924,0.006726,0.185454
0.050000,13.332267,11.288778,13.459492,3.846452,-0.126458,0.009329,0.177524
0.050000,13.521394,11.321911,13.651500,3.840160,-0.125847,0.012225,0.169268
0.050000,13.710486,11.353398,13.843196,3.833906,-0.125076,0.015417,0.160689
0.050000,13.899539,11.383184,14.034581,3.827699,-0.124130,0.018908,0.151790
0.050000,14.085790,11.410814,14.222870,3.765789,-1.238216,-22.281704,0.142710
0.050000,14.265738,11.435843,14.404550,3.633600,-2.643762,-28.110936,0.133646
0.050000,14.438642,11.458304,14.578907,3.487141,-2.929185,-5.708444,0.124668
0.050000,14.604503,11.478347,14.745975,3.341355,-2.915718,0.269340,0.115813
0.050000,14.763322,11.496126,14.905786,3.196215,-2.902815,0.258059,0.107113
0.050000,14.915099,11.511795,15.058370,3.051679,-2.890708,0.242133,0.098599
0.050000,15.059837,11.525509,15.203755,2.907716,-2.879272,0.228724,0.090302
0.050000,15.197537,11.537421,15.341970,2.764290,-2.868509,0.215261,0.082248
0.050000,15.328203,11.547682,15.473038,2.621365,-2.858512,0.199936,0.074465
0.050000,15.451838,11.556441,15.596983,2.478906,-2.849179,0.186665,0.066975
0.050000,15.568448,11.563843,15.713827,2.336882,-2.840479,0.173992,0.059801
0.050000,15.678035,11.570030,15.823590,2.195247,-2.832684,0.155896,0.052963
0.050000,15.780607,11.575135,15.926289,2.053978,-2.825384,0.145997,0.046482
0.050000,15.876170,11.579288,16.021941,1.913046,-2.818646,0.134770,0.040372
0.050000,15.964728,11.582612,16.110562,1.772416,-2.812600,0.120925,0.034651
0.050000,16.046289,11.585222,16.192164,1.632046,-2.807392,0.104148,0.029332
0.050000,16.120858,11.587227,16.266761,1.491934,-2.802241,0.103031,0.024427
0.050000,16.188443,11.588727,16.334362,1.352020,-2.798286,0.079101,0.019949
0.050000,16.249049,11.589814,16.394978,1.212315,-2.794096,0.083787,0.015906
0.050000,16.302681,11.590571,16.448616,1.072763,-2.791053,0.060860,0.012307
0.050000,16.349347,11.591072,16.495284,0.933365,-2.787956,0.061948,0.009160
0.050000,16.389050,11.591382,16.534989,0.794093,-2.785434,0.050444,0.006472
0.050000,16.421795,11.591558,16.567734,0.654908,-2.783710,0.034480,0.004246
0.050000,16.447586,11.591645,16.593525,0.515811,-2.781937,0.035464,0.002489
0.050000,16.466425,11.591679,16.612364,0.376790,-2.780420,0.030340,0.001202
0.050000,16.478315,11.591689,16.624254,0.237799,-2.779807,0.012243,0.000389
0.050000,16.483258,11.591690,16.629197,0.098856,-2.778868,0.018780,0.000050
0.050000,16.483992,11.591690,16.629931,0.014691,-1.683304,21.911282,0.000000
0.050000,16.483992,11.591690,16.629931,0.000000,-0.293815,27.789793,0.000000
