dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,12.786119,13.156863,12.907878,4.147205,0.126888,-0.006751,0.185454
0.050000,12.990383,13.194352,13.115554,4.153526,0.126420,-0.009348,0.177524
0.050000,13.195254,13.230242,13.323545,4.159817,0.125808,-0.012237,0.169268
0.050000,13.400728,13.264457,13.531848,4.166069,0.125037,-0.015423,0.160689
0.050000,13.606800,13.296924,13.740462,4.172273,0.124092,-0.018910,0.151790
0.050000,13.810440,13.327133,13.946330,4.117361,-1.098246,-24.446758,0.142710
0.050000,14.007769,13.354579,14.145559,3.984582,-2.655585,-31.146776,0.133646
0.050000,14.197909,13.379279,14.337296,3.834745,-2.996739,-6.823073,0.124668
0.050000,14.380790,13.401378,14.521508,3.684232,-3.010259,-0.270405,0.115813
0.050000,14.556348,13.421031,14.698162,3.533082,-3.023003,-0.254893,0.107113
0.050000,14.724520,13.438392,14.867228,3.381322,-3.035186,-0.243655,0.098599
0.050000,14.885250,13.453621,15.028678,3.228990,-3.046639,-0.229046,0.090302
0.050000,15.038484,13.466876,15.182484,3.076123,-3.057346,-0.214146,0.082248
0.050000,15.184173,13.478317,15.328621,2.922753,-3.067407,-0.201226,0.074465
0.050000,15.322272,13.488101,15.467067,2.768917,-3.076716,-0.186178,0.066975
0.050000,15.452743,13.496383,15.597800,2.614654,-3.085258,-0.170837,0.059801
0.050000,15.575546,13.503315,15.720799,2.459986,-3.093366,-0.162159,0.052963
0.050000,15.690652,13.509044,15.836047,2.304955,-3.100620,-0.145082,0.046482
0.050000,15.798030,13.513710,15.943527,2.149598,-3.107140,-0.130394,0.040372
0.050000,15.897657,13.517450,16.043224,1.993942,-3.113124,-0.119682,0.034651
0.050000,15.989510,13.520389,16.135124,1.838002,-3.118794,-0.113414,0.029332
0.050000,16.073572,13.522650,16.219216,1.681835,-3.123329,-0.090693,0.024427
0.050000,16.149824,13.524342,16.295487,1.525432,-3.128073,-0.094878,0.019949
0.050000,16.218256,13.525569,16.363930,1.368858,-3.131473,-0.068002,0.015906
0.050000,16.278855,13.526424,16.424535,1.212101,-3.135146,-0.073449,0.012307
0.050000,16.331613,13.526991,16.477296,1.055211,-3.137791,-0.052901,0.009160
0.050000,16.376522,13.527342,16.522206,0.898203,-3.140171,-0.047606,0.006472
0.050000,16.413575,13.527540,16.559260,0.741073,-3.142586,-0.048311,0.004246
0.050000,16.442768,13.527639,16.588453,0.583867,-3.144120,-0.030672,0.002489
0.050000,16.464098,13.527678,16.609784,0.426610,-3.145152,-0.020638,0.001202
0.050000,16.477563,13.527689,16.623248,0.269288,-3.146445,-0.025860,0.000389
0.050000,16.483161,13.527690,16.628846,0.111956,-3.146625,-0.003610,0.000050
0.050000,16.483992,13.527690,16.629678,0.016638,-1.906366,24.805183,0.000000
0.050000,16.483992,13.527690,16.629678,0.000000,-0.332762,31.472095,0.000000
